Product_ID,Product_Name,Category,Description
1,iPhone 15 Pro,Smartphones,Latest Apple iPhone 15 Pro with A17 Bionic chip and 48MP camera.
2,Samsung Galaxy S23,Smartphones,Samsung Galaxy S23 with Snapdragon 8 Gen 2 and Dynamic AMOLED display.
3,MacBook Air M2,Laptops,"MacBook Air M2 with 13.6-inch Retina display, 8GB RAM, and 256GB SSD."
4,Dell XPS 13,Laptops,"Dell XPS 13 with Intel Core i7, 16GB RAM, and 512GB SSD for high performance."
5,Sony WH-1000XM5 Headphones,Headphones,Sony WH-1000XM5 Wireless Noise-Canceling Headphones with 30-hour battery life.
6,Boat Rockerz 450,Headphones,Boat Rockerz 450 wireless Bluetooth headphones with deep bass and long battery life.
7,Apple iPad Pro,Tablets,"Apple iPad Pro with M2 chip, 12.9-inch Liquid Retina display, and Apple Pencil support."
8,Samsung 55-inch Smart TV,Televisions,Samsung 55-inch Crystal 4K UHD Smart TV with HDR10+ and voice control support.
9,Nike Air Max Shoes,Footwear,Nike Air Max running shoes with breathable mesh and comfortable cushioning.
10,Adidas Running Shoes,Footwear,Adidas lightweight running shoes with excellent grip and stylish design.
11,Rolex Watch,Watches,Rolex luxury watch with automatic movement and water resistance.
12,Fossil Smartwatch,Watches,"Fossil Gen 6 Smartwatch with heart rate monitor, Alexa built-in, and fitness tracking."
13,Dyson Vacuum Cleaner,Home Appliances,Dyson cordless vacuum cleaner with powerful suction and long battery life.
14,LG 1.5 Ton AC,Home Appliances,LG 1.5 Ton 5 Star Inverter AC with dual inverter compressor and energy saving mode.
15,Amazon Echo Dot,Smart Devices,Amazon Echo Dot (5th Gen) smart speaker with Alexa and improved bass response.
